user_id,age,annual_income,monthly_income,current_savings,monthly_investment_capacity,risk_profile,financial_goal,investment_horizon,dependents,tax_bracket,esg_preference,health_risk,investment_knowledge,emergency_fund_months,existing_epf_balance,existing_ppf_balance,existing_nps_balance,recommended_investments
68,65,4366057,363838,4124383,9567,Aggressive,Emergency Fund,Short Term,5,5%,Medium,High,Beginner,17,3422473,195473,471231,"Mutual Funds, Bonds, REITs"
69,62,1591603,132633,16772706,78509,Aggressive,Tax Saving,Medium Term,3,20%,Medium,Low,Intermediate,17,1213344,804438,399738,"NPS, Insurance, PPF, REITs"
70,59,4563433,380286,4630459,20300,Moderate,House Purchase,Medium Term,4,20%,Low,Medium,Advanced,9,4923590,1216187,1383996,"Bonds, Index Funds, REITs"
71,55,4362950,363579,11630437,89147,Aggressive,Emergency Fund,Medium Term,3,20%,Low,High,Beginner,18,3212592,489815,1795189,REITs
72,47,666140,55511,10726225,125987,Aggressive,House Purchase,Medium Term,5,30%,Low,Medium,Beginner,4,4213523,1237698,696243,REITs
73,27,3993556,332796,3395769,139874,Moderate,Retirement,Long Term,1,20%,High,Low,Beginner,15,2223172,710014,1307069,"NPS, PPF, REITs, ESG Mutual Funds"
74,65,3634331,302860,2744934,88131,Aggressive,Emergency Fund,Medium Term,2,30%,High,Medium,Advanced,1,573954,492348,1323640,"REITs, ESG Mutual Funds"
75,64,2710709,225892,7683172,25692,Moderate,Retirement,Long Term,5,5%,Medium,Low,Advanced,9,242827,96450,680262,"NPS, PPF"
76,24,2760947,230078,12078033,100262,Moderate,Wealth Creation,Short Term,4,20%,High,High,Beginner,5,1468588,165608,1278196,"REITs, ESG Mutual Funds"
77,45,2320226,193352,16748941,39517,Conservative,House Purchase,Long Term,2,20%,Medium,High,Beginner,14,2412829,1421053,1146299,"Fixed Deposit, PPF, Bonds"
78,31,919598,76633,14871991,92587,Aggressive,Child Education,Long Term,3,30%,Medium,Medium,Intermediate,6,3227040,1789574,1013360,"Mutual Funds, Stocks, Index Funds, REITs"
79,27,2289825,190818,12846462,96098,Aggressive,Child Education,Long Term,2,5%,High,Medium,Intermediate,0,4747356,1814177,1438225,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
80,24,4466850,372237,9653082,62324,Aggressive,Child Education,Short Term,5,5%,High,Medium,Advanced,24,1147387,1317531,203767,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
81,61,630700,52558,10416067,117559,Conservative,Emergency Fund,Medium Term,5,5%,Low,Medium,Intermediate,23,3485492,368343,421097,"Fixed Deposit, PPF, Bonds, REITs"
82,29,4824880,402073,12326141,141159,Aggressive,Child Education,Short Term,2,20%,Medium,High,Intermediate,3,3928648,157914,295188,"Mutual Funds, Stocks, Index Funds, REITs"
83,35,3633729,302810,18750308,97885,Conservative,House Purchase,Short Term,2,30%,Low,Medium,Intermediate,21,2199169,1225911,799068,"Fixed Deposit, PPF, Bonds, REITs"
84,61,3416146,284678,3685491,63295,Moderate,Retirement,Long Term,4,20%,High,Low,Advanced,2,3894558,1907124,1470265,"NPS, PPF, REITs, ESG Mutual Funds"
85,40,3725033,310419,3964994,38641,Conservative,Retirement,Medium Term,3,5%,Low,Low,Advanced,4,3260197,951359,778067,"Fixed Deposit, PPF, Bonds, NPS"
86,63,4831463,402621,14113560,42507,Moderate,Tax Saving,Short Term,3,30%,Medium,Medium,Beginner,22,3108230,455647,929841,"NPS, Insurance, PPF"
87,49,2280656,190054,12219724,28045,Aggressive,Child Education,Long Term,5,20%,Low,Medium,Intermediate,6,1024749,1990219,1778454,"Bonds, Mutual Funds, PPF"
88,62,479159,39929,1747133,89427,Conservative,Wealth Creation,Long Term,1,5%,High,Low,Advanced,6,1954534,689039,1623968,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
89,30,323786,26982,9353799,39929,Conservative,Emergency Fund,Medium Term,1,5%,High,Low,Beginner,0,3005154,1656717,1653460,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
90,36,3015991,251332,579525,47677,Moderate,Retirement,Short Term,5,20%,High,Low,Advanced,2,3995040,940101,1631619,"NPS, PPF, ESG Mutual Funds"
91,44,4605352,383779,19970126,30587,Moderate,Emergency Fund,Short Term,4,5%,High,High,Advanced,9,3842339,1349183,65327,ESG Mutual Funds
92,24,4317991,359832,13526038,113745,Aggressive,Retirement,Medium Term,5,20%,Low,Low,Intermediate,19,1244314,137745,264642,"NPS, Stocks, PPF, REITs, Mutual Funds"
93,38,4899947,408328,10961412,101851,Aggressive,Emergency Fund,Medium Term,3,30%,High,Medium,Beginner,22,959774,1788435,1373032,"REITs, ESG Mutual Funds"
94,62,4924935,410411,7264976,114740,Moderate,Wealth Creation,Medium Term,2,20%,Medium,Medium,Advanced,3,2621845,894988,655409,REITs
95,63,2438170,203180,12609458,42013,Aggressive,House Purchase,Short Term,0,5%,Low,Medium,Beginner,23,3125988,1702403,272871,"Insurance, Stocks, Gold"
96,63,1325350,110445,13834450,94693,Aggressive,House Purchase,Long Term,0,20%,High,Medium,Intermediate,3,4847931,1064121,446145,"REITs, ESG Mutual Funds"
97,30,4344897,362074,7574409,30368,Moderate,Emergency Fund,Medium Term,0,20%,High,Low,Intermediate,17,4670271,55058,1277154,ESG Mutual Funds
98,63,2543514,211959,1021507,49294,Moderate,Tax Saving,Medium Term,2,20%,Low,Low,Beginner,18,3362022,145931,297532,"NPS, Insurance, PPF"
99,61,557170,46430,3128876,141062,Conservative,House Purchase,Medium Term,3,20%,Low,Medium,Intermediate,23,2721120,1629142,1974274,"Fixed Deposit, PPF, Bonds, REITs"
100,57,1012671,84389,1815259,42784,Conservative,Emergency Fund,Short Term,5,5%,Medium,Medium,Advanced,13,4074025,1273130,927033,"Fixed Deposit, PPF, Bonds"
101,47,2591489,215957,7283294,136308,Conservative,Child Education,Medium Term,0,20%,High,High,Advanced,15,4420243,1399078,646802,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
102,23,2149842,179153,13312838,16360,Conservative,Wealth Creation,Medium Term,1,5%,Medium,Medium,Intermediate,3,64843,1043092,1566602,"Fixed Deposit, PPF, Bonds"
103,48,1773834,147819,4384752,101669,Aggressive,Tax Saving,Short Term,4,30%,High,Medium,Beginner,12,354857,914818,39303,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
104,50,953158,79429,10554571,114534,Aggressive,House Purchase,Long Term,5,20%,Medium,Low,Intermediate,0,2724352,360444,1680494,REITs
105,60,4159572,346631,12191761,25102,Moderate,Retirement,Short Term,3,30%,Medium,High,Beginner,12,2602771,1564066,712010,"NPS, PPF"
106,35,3093982,257831,5691597,22022,Aggressive,Tax Saving,Short Term,4,30%,Low,Medium,Intermediate,23,1238912,495491,215596,"NPS, Insurance, PPF"
107,30,2447217,203934,6669343,47481,Aggressive,Wealth Creation,Long Term,0,5%,High,Medium,Intermediate,24,4728955,1593577,1215232,"Mutual Funds, Stocks, Index Funds, ESG Mutual Funds"
108,49,3011267,250938,10657861,41572,Moderate,Retirement,Medium Term,3,30%,Medium,Medium,Advanced,1,2952305,1063962,155589,"NPS, PPF"
109,40,4173376,347781,15213713,11858,Conservative,Child Education,Medium Term,0,30%,Low,High,Advanced,16,3225272,970376,1217038,"Fixed Deposit, PPF, Bonds"
110,56,644123,53676,15140558,51345,Moderate,Emergency Fund,Medium Term,4,5%,Low,Medium,Beginner,10,707404,1058115,1355026,REITs
111,32,628347,52362,8362899,116755,Moderate,Emergency Fund,Long Term,4,5%,Medium,Medium,Intermediate,12,3429006,1624170,709607,REITs
112,64,739273,61606,11278968,19278,Moderate,Retirement,Long Term,5,20%,Medium,Medium,Advanced,21,1261422,699110,170922,"NPS, PPF"
113,58,1486387,123865,11788037,83325,Aggressive,Tax Saving,Long Term,3,5%,High,High,Beginner,9,4688578,789953,1349503,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
114,42,1372011,114334,17712829,26498,Aggressive,Tax Saving,Medium Term,4,20%,Low,Medium,Intermediate,5,1796778,716664,1987404,"NPS, Insurance, PPF"
115,52,1910656,159221,7651523,38061,Conservative,Retirement,Medium Term,0,30%,High,High,Advanced,1,2824984,1837928,1607063,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
116,60,1399319,116609,12690621,42436,Conservative,Wealth Creation,Long Term,4,5%,High,Medium,Beginner,13,3055964,1418435,1509080,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
117,36,4026208,335517,9610594,119683,Conservative,Emergency Fund,Short Term,2,20%,Low,Medium,Advanced,18,3695998,968213,1613629,"Fixed Deposit, PPF, Bonds, REITs"
118,39,3503378,291948,16924748,140270,Moderate,Wealth Creation,Short Term,4,5%,Medium,Low,Advanced,15,3113952,1162956,1959355,REITs
119,27,4627761,385646,4233491,76727,Conservative,Wealth Creation,Medium Term,3,30%,Low,Medium,Beginner,7,3784335,1855203,733133,"Fixed Deposit, PPF, Bonds, REITs"
120,22,3780407,315033,1837004,105928,Aggressive,Child Education,Short Term,3,5%,Medium,Low,Beginner,10,831169,1759880,1498843,"Mutual Funds, Stocks, Index Funds, REITs"
121,62,3112619,259384,4950601,38070,Conservative,Child Education,Medium Term,5,5%,High,Medium,Intermediate,19,44050,1899720,166148,"Fixed Deposit, PPF, Bonds, ESG Mutual Funds"
122,22,2446845,203903,7286172,41195,Aggressive,Tax Saving,Long Term,4,20%,Low,Medium,Beginner,9,1022138,100137,500043,"NPS, Stocks, PPF, Insurance, Mutual Funds"
123,47,4134546,344545,2157458,31060,Moderate,Emergency Fund,Long Term,0,30%,High,High,Beginner,22,1204409,610841,900179,ESG Mutual Funds
124,21,3259635,271636,8121996,111200,Conservative,Tax Saving,Long Term,0,30%,Medium,Low,Advanced,17,4255773,1649226,1064561,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
125,56,470576,39214,13151453,125243,Conservative,Tax Saving,Medium Term,2,20%,High,Low,Intermediate,2,2892412,505677,1537088,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
126,63,1169595,97466,19575435,89167,Conservative,Retirement,Medium Term,4,20%,High,Low,Advanced,14,4014210,1324846,382264,"NPS, PPF, Bonds, ESG Mutual Funds, Fixed Deposit"
127,29,829325,69110,15407178,11695,Moderate,Wealth Creation,Short Term,1,5%,Medium,Medium,Advanced,12,4555271,992791,531237,"Stocks, PPF, NPS"
128,43,701009,58417,11187544,73622,Conservative,Child Education,Medium Term,3,30%,Medium,Medium,Intermediate,5,4162454,1451372,1043382,"Fixed Deposit, PPF, Bonds, REITs"
129,44,4656001,388000,8999661,23656,Aggressive,House Purchase,Short Term,3,30%,Low,High,Intermediate,10,860653,167916,687697,"NPS, REITs, Bonds"
130,59,3874520,322876,5641670,118367,Moderate,House Purchase,Short Term,5,20%,High,Medium,Intermediate,20,481154,157372,1407574,"REITs, ESG Mutual Funds"
131,61,3707538,308961,12240698,136502,Aggressive,Tax Saving,Short Term,0,5%,High,High,Intermediate,1,1058894,140998,494918,"NPS, PPF, ESG Mutual Funds, Insurance, REITs"
132,62,3372985,281082,12201757,102362,Aggressive,Retirement,Long Term,1,30%,Medium,Medium,Intermediate,14,644961,1203601,288767,"NPS, PPF, REITs"
133,54,3378199,281516,13405806,84414,Aggressive,Child Education,Short Term,0,5%,High,Low,Intermediate,16,3246285,1915837,1177913,"REITs, ESG Mutual Funds"
134,28,2495941,207995,8783875,118987,Conservative,Emergency Fund,Medium Term,5,20%,Low,Low,Beginner,2,3792008,362086,1884666,"Fixed Deposit, PPF, Bonds, REITs"
135,49,1036442,86370,10773586,93075,Aggressive,Retirement,Long Term,4,20%,Medium,Low,Advanced,22,1460381,1664501,758104,"NPS, PPF, REITs"
136,53,2181075,181756,4122248,54685,Conservative,Wealth Creation,Medium Term,0,20%,High,High,Intermediate,14,4627549,272149,1283348,"PPF, Bonds, ESG Mutual Funds, Fixed Deposit, REITs"
137,26,851535,70961,10428074,106375,Aggressive,Tax Saving,Medium Term,4,20%,Medium,High,Beginner,4,2659420,1347081,155535,"NPS, Stocks, PPF, Insurance, REITs"
138,49,4207692,350641,17409721,92312,Conservative,Emergency Fund,Long Term,4,5%,Low,Medium,Advanced,1,1041538,1086538,320896,"Fixed Deposit, PPF, Bonds, REITs"
139,40,1681243,140103,5484709,86583,Aggressive,Wealth Creation,Medium Term,4,20%,Low,Medium,Beginner,20,4620792,575565,262501,REITs
140,61,2840276,236689,17950552,26491,Aggressive,Tax Saving,Short Term,4,30%,Low,Low,Advanced,19,2832158,1766913,1937621,"NPS, Insurance, PPF"
141,57,645562,53796,1002056,23292,Conservative,Tax Saving,Long Term,2,30%,Low,High,Intermediate,19,254056,1044461,1864361,"NPS, PPF, Bonds, Fixed Deposit, Insurance"
142,61,4876635,406386,9769767,81192,Moderate,Wealth Creation,Long Term,3,20%,Medium,Low,Advanced,1,1326074,921919,871621,REITs
143,51,4196023,349668,6895876,91179,Aggressive,Wealth Creation,Medium Term,5,20%,High,Medium,Intermediate,4,3108316,1079991,1177867,"REITs, ESG Mutual Funds"
144,27,2976938,248078,8161376,124282,Conservative,Child Education,Medium Term,1,5%,Low,Low,Intermediate,12,3507568,520660,1814681,"Fixed Deposit, PPF, Bonds, REITs"
145,31,3046730,253894,19433960,83976,Conservative,Wealth Creation,Medium Term,4,20%,Medium,Medium,Intermediate,0,755386,1982296,824688,"Fixed Deposit, PPF, Bonds, REITs"
146,53,4135528,344627,8127512,58398,Aggressive,Child Education,Short Term,0,20%,Medium,High,Advanced,21,3947568,599257,1125522,REITs
147,21,1201750,100145,14509536,37110,Moderate,Tax Saving,Medium Term,3,20%,Low,Medium,Beginner,18,4712861,408221,760267,"NPS, Insurance, PPF"
148,56,2720966,226747,2517316,103279,Aggressive,House Purchase,Long Term,2,30%,High,High,Beginner,4,811023,826075,782653,"REITs, ESG Mutual Funds"
149,42,4979432,414952,12317714,39818,Conservative,Emergency Fund,Long Term,3,30%,Low,Low,Beginner,4,2793747,1686038,993513,"Fixed Deposit, PPF, Bonds"
150,54,4133497,344458,5047619,137136,Conservative,Child Education,Long Term,2,5%,Medium,High,Advanced,9,4980523,705426,1063916,"Fixed Deposit, PPF, Bonds, REITs"
151,53,4765590,397132,16486526,149567,Moderate,House Purchase,Short Term,2,20%,High,Low,Intermediate,18,2580988,1670915,1884851,"REITs, ESG Mutual Funds"
152,65,523532,43627,15974605,71607,Aggressive,Emergency Fund,Long Term,1,30%,Low,High,Intermediate,5,4397579,1319161,1512430,REITs
153,60,3489267,290772,5008529,65490,Conservative,Emergency Fund,Long Term,0,5%,Low,Medium,Intermediate,13,1270297,866040,1448084,"Fixed Deposit, PPF, Bonds, REITs"
154,34,3742495,311874,16888268,125628,Aggressive,Tax Saving,Short Term,5,5%,High,Low,Advanced,10,4012866,1102005,790258,"NPS, Stocks, PPF, ESG Mutual Funds, Insurance"
155,41,1752759,146063,15473748,141756,Moderate,Emergency Fund,Medium Term,5,30%,High,High,Advanced,8,4061597,403207,516988,"REITs, ESG Mutual Funds"
156,38,4981570,415130,10065969,60947,Moderate,Child Education,Long Term,1,30%,High,Medium,Intermediate,15,2925973,1175427,1958111,"REITs, ESG Mutual Funds"
157,38,2714152,226179,4139416,144394,Moderate,House Purchase,Medium Term,1,20%,Low,Medium,Advanced,2,2905507,1937788,927729,REITs
158,62,2451207,204267,16125232,58095,Conservative,Emergency Fund,Medium Term,4,30%,Medium,Low,Beginner,19,4922691,501810,508471,"Fixed Deposit, PPF, Bonds, REITs"
159,24,4754698,396224,7622283,63036,Conservative,Retirement,Medium Term,2,30%,Medium,Low,Advanced,24,1153157,10866,1154172,"NPS, PPF, Bonds, Fixed Deposit, REITs"
160,31,3713387,309448,16011831,127160,Aggressive,Wealth Creation,Medium Term,2,20%,High,Low,Beginner,20,4816179,487001,1122295,"Stocks, ESG Mutual Funds, REITs, Mutual Funds, Index Funds"
161,23,1768549,147379,14071893,48081,Conservative,House Purchase,Medium Term,1,30%,Medium,Low,Beginner,9,4764409,1264127,225025,"Fixed Deposit, PPF, Bonds"
162,42,2687076,223923,15295425,144422,Aggressive,House Purchase,Short Term,4,20%,Medium,Low,Beginner,10,1363100,1533268,962413,REITs
